"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.85708902597892","","","","","","","","","","","","","","3.12374074074074","3.13167153284672","3.10284615384615","3.21490410958904","","","","","","","","","","","","",
"Australia","AUS","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","2.80162709209182","2.77347866973789","2.78467004083077","2.80946916601887","2.91366577700322","3.06718457234533","2.91216180339962","2.96674642915758","2.97860866574995","3.05846397974371","2.90467527592779","2.95995326059832","2.96183900771373","2.99692167069204","2.9248244066821","2.91308658408626","2.81834518043847","2.83265721737973","3.03909678625586","3.01655313446191","3.17149825799391","3.28723418601152","3.20186099655338","3.21396580410005","3.27212301437201","3.32577770494082","3.23992615287603","3.29960926522671","3.35885600766309","3.30324381998319","3.05301903505856","3.06993439857431","3.08874867431065","3.05028460594406","3.06035994426033","3.0407172400163","3.05952603867151","3.0192835382869","3.04946931806667","3.06403591424275","3.04755703141299","3.0720487832986","3.11877404626643","3.03513599971464","3.0414875230486","3.08580921248965","3.09166801675312","3.04434276703353","3.04474321606191","3.10448114291755","3.06240112822689","3.05277091982871","3.06224673182722","2.94343109115818","2.88466434291312","","","","","",
"Austria","AUT","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","2.82831779651141","2.89334661901595","2.83754193220697","2.82631976037245","2.90606820535483","2.83619882106709","2.8178723564302","2.82142616365043","2.79158842342841","2.75313358440858","2.80736865067658","2.77201272636321","2.83502190020316","2.80148923294813","2.76977508515354","2.70329709379444","2.69316876975376","2.65532461317474","2.62748469152708","2.59925593150731","2.25903230260461","2.55993667789442","2.51292142148605","2.41765485387421","2.44246457370737","2.36950233148509","2.3335284955119","2.40126966835725","2.19438110353873","2.26265892260939","2.31882343629514","2.32611817682895","2.22647709857806","2.21851810395874","2.22268674999468","2.22951984757111","2.21706015763969","2.21486558071919","2.21288229726475","2.15521749906512","2.17735955594503","2.1798223731091","2.19922674207062","2.2371421159312","2.21040778205008","2.20781305517788","2.13966649819248","2.09136219877978","2.05723973950026","1.97958184620742","1.99228370143029","1.9756070496268","1.90057077558329","1.88024103774816","1.82547684059256","","","","","",
"Azerbaijan","AZE","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.09122986702289","2.97183471269843","2.83687493140323","2.39748172940466","2.66006742608597","2.63308973453346","2.69532801129746","2.61471352453474","2.61235864388071","2.51395629196348","2.56194579449391","2.51807725969139","2.50984540047546","2.55743905954063","2.95998485214785","2.51873586693698","2.66483351233296","2.67258177838537","2.6479770305867","2.66270655223252","2.59683885228287","2.56788332495101","2.61741412109143","","","","","",
"Burundi","BDI","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","3.94586412019569","3.93022039550048","3.78681781994156","3.74162999915604","3.65815528474453","3.57558907181446","3.61879485238341","3.52419934166812","3.43333495987345","3.30546890972572","3.1462032150974","3.06428343632497","3.01137852498561","3.01972851637854","2.9966366554516","2.88524537751456","2.86477973909292","2.80539715388557","2.86063858213583","2.861135536503","2.89312148474681","2.84904493564704","2.83411457735625","2.48109739452183","2.46763717662035","2.36863903483487","2.25112683786977","2.20978548677934","2.12434572850553","2.25331958126391","2.21205099436254","2.2155392430059","2.21130951646226","2.17756969759725","2.1412861130959","2.10361519222047","2.09950231300086","2.05104295775436","2.07060194714665","1.99066358999583","1.98076525609756","1.97608975741084","1.92655074182672","1.94670189757735","1.90618839034239","1.86395053042016","1.85559897056832","1.82590300970023","1.78782399074772","1.77994222283164","1.83617947810679","1.77803768453236","1.76718593225985","1.73879077426315","1.76885484186368","","","","","",
"Benin","BEN","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","0.265489448658706","0.335840097044933","0.32255630830648","0.336911276231373","0.356804427296515","0.215925743777218","0.237912424147278","0.279804786462071","0.277895451593371","0.382275701452811","0.31774241209","0.351748081548505","0.316639764018044","0.341464061172472","0.482542536806459","0.440328026332519","0.341407293544949","0.341860126268894","0.387154117322815","0.426006506893635","0.487000983004341","0.519828848167842","0.640563124216682","0.699975267944434","0.718696501951782","0.588210269078249","0.545577171015277","0.551417298331134","0.680317952228775","0.806393398800607","0.86086099141304","0.919237778432106","0.986881620183206","1.00711622743179","0.958094415002691","1.31309256732379","1.40216237323363","1.34595823606712","1.35535702186278","1.39318216655353","1.41061568523504","1.40699262861857","1.43004434169729","1.4736566515637","","","","","",
"Burkina Faso","BFA","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","","0.597552115038333","0.716898181378586","0.710292199667588","0.72391034218155","0.778478681876671","0.793503185374255","0.79426740738756","0.844132382698886","0.909072094055357","0.925060468683467","0.949377514108263","0.887970523467212","0.969542525778674","1.02850534150435","1.0758701042951","1.13098073859216","1.17514860371758","1.11188507262421","1.21947235216341","1.26959354159869","1.33923903175783","1.24405551579968","1.29800415703111","1.43496003118462","1.50239763016093","1.5000753809882","1.38064069431084","1.42988154717319","1.52608076807599","1.62474561270457","1.64797361526257","1.65514771068585","1.71761643503001","1.73199801472861","1.78289704547854","1.73943859674151","1.84881744292963","1.90728765423488","1.96432262494377","2.0032924435481","2.03225856367556","2.05497374096077","2.06615058483998","","","","","",
"Bulgaria","BGR","CO2 intensity (kg per kg of oil equivalent energy use)","EN.ATM.CO2E.EG.ZS","","","","","","","","","","","","3.3798162339744","3.40980314962659","3.35689589840865","3.33339200772462","3.1431269914145","3.00250001940307","2.92078110243002","2.99454471065908","2.80210431313141","2.72949528905714","2.83673033306314","3.05428976486584","2.9993886438242","2.87840925410637","2.92206501134729","2.96072805034178","2.99440464017277","2.78613183509319","2.85130629071424","2.63888791651526","2.62818020643878","2.64904762637818","3.09257203970253","2.54558704232713","2.51225377915829","2.46320297170595","2.47985038077896","2.44618993646645","2.40140467601811","2.33955795419318","2.39558787635505","2.36223116454985","2.44311329530086","2.48490038984788","2.40821096863109","2.39473453955328","2.59757906759315","2.55659774438174","2.43708945149309","2.46819653339151","2.56593521446101","2.43477857395744","2.34023554274202","2.36982748597656","","","","","",
